MovieId,Title,Genres,Year,imdbId,tmdbId,Average Rating,Number of Ratings
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,114709,862,3.92093,215
2,Jumanji,Adventure|Children|Fantasy,1995,113497,8844,3.43182,110
3,Grumpier Old Men,Comedy|Romance,1995,113228,15602,3.25962,52
4,Waiting to Exhale,Comedy|Drama|Romance,1995,114885,31357,2.35714,7
5,Father of the Bride Part II,Comedy,1995,113041,11862,3.07143,49
6,Heat,Action|Crime|Thriller,1995,113277,949,3.94608,102
7,Sabrina,Comedy|Romance,1995,114319,11860,3.18519,54
8,Tom and Huck,Adventure|Children,1995,112302,45325,2.875,8
9,Sudden Death,Action,1995,114576,9091,3.125,16
10,GoldenEye,Action|Adventure|Thriller,1995,113189,710,3.49621,132
11,"American President, The",Comedy|Drama|Romance,1995,112346,9087,3.67143,70
12,Dracula: Dead and Loving It,Comedy|Horror,1995,112896,12110,2.42105,19
13,Balto,Adventure|Animation|Children,1995,112453,21032,3.125,8
14,Nixon,Drama,1995,113987,10858,3.83333,18
15,Cutthroat Island,Action|Adventure|Romance,1995,112760,1408,3,13
16,Casino,Crime|Drama,1995,112641,524,3.92683,82
17,Sense and Sensibility,Drama|Romance,1995,114388,4584,3.77612,67
18,Four Rooms,Comedy,1995,113101,5,3.7,20
19,Ace Ventura: When Nature Calls,Comedy,1995,112281,9273,2.72727,88
20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995,113845,11517,2.5,15
21,Get Shorty,Comedy|Crime|Thriller,1995,113161,8012,3.49438,89
22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,112722,1710,3.22222,36
23,Assassins,Action|Crime|Thriller,1995,112401,9691,3.125,16
24,Powder,Drama|Sci-Fi,1995,114168,12665,3.125,28
25,Leaving Las Vegas,Drama|Romance,1995,113627,451,3.625,76
26,Othello,Drama,1995,114057,16420,3.5,13
27,Now and Then,Children|Drama,1995,114011,9263,3.33333,9
28,Persuasion,Drama|Romance,1995,114117,17015,4.22727,11
29,"City of Lost Children, The (CitÃƒÂ© des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,112682,902,4.01316,38
30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995,115012,37557,3,3
31,Dangerous Minds,Drama,1995,112792,9909,3.18421,38
32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995,114746,63,3.98305,177
34,Babe,Children|Drama,1995,112431,9598,3.65234,128
36,Dead Man Walking,Crime|Drama,1995,112818,687,3.83582,67
38,It Takes Two,Children|Comedy,1995,113442,33689,2.125,4
39,Clueless,Comedy|Romance,1995,112697,9603,3.29327,104
40,"Cry, the Beloved Country",Drama,1995,112749,34615,4.25,2
41,Richard III,Drama|War,1995,114279,31174,3.7,15
42,Dead Presidents,Action|Crime|Drama,1995,112819,11443,3,7
43,Restoration,Drama,1995,114272,35196,3.1875,8
44,Mortal Kombat,Action|Adventure|Fantasy,1995,113855,9312,2.54348,46
45,To Die For,Comedy|Drama|Thriller,1995,114681,577,3.3125,32
46,How to Make an American Quilt,Drama|Romance,1995,113347,11861,3.06667,15
47,Seven (a.k.a. Se7en),Mystery|Thriller,1995,114369,807,3.97537,203
48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995,114148,10530,3.14706,68
49,When Night Is Falling,Drama|Romance,1995,114916,8391,3,1
50,"Usual Suspects, The",Crime|Mystery|Thriller,1995,114814,629,4.23775,204
52,Mighty Aphrodite,Comedy|Drama|Romance,1995,113819,11448,3.46429,28
53,Lamerica,Adventure|Drama,1994,110299,49133,5,2
54,"Big Green, The",Children|Comedy,1995,112499,26441,2.33333,3
55,Georgia,Drama,1995,113158,97406,4,1
57,Home for the Holidays,Drama,1995,113321,9089,3.0625,8
58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994,110877,11010,4.02703,37
60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995,113419,11359,3.23529,34
61,Eye for an Eye,Drama|Thriller,1996,116260,17182,3.75,6
62,Mr. Holland's Opus,Drama,1995,113862,2054,3.70625,80
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996,116126,10607,2.71429,7
64,Two if by Sea,Comedy|Romance,1996,118002,19760,2.2,5
65,Bio-Dome,Comedy,1996,115683,9536,2.53226,31
66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996,116839,11525,2.5,9
68,French Twist (Gazon maudit),Comedy|Romance,1995,113149,4482,3.4,5
69,Friday,Comedy,1995,113118,10634,3.775,20
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996,116367,755,3.50909,55
71,Fair Game,Action,1995,113010,11859,1.7,5
72,Kicking and Screaming,Comedy|Drama,1995,113537,28387,3.21429,7
73,"MisÃƒÂ©rables, Les",Drama|War,1995,113828,48750,3.46154,13
74,Bed of Roses,Drama|Romance,1996,115644,20927,4,8
75,Big Bully,Comedy|Drama,1996,115676,36929,2.2,5
76,Screamers,Action|Sci-Fi|Thriller,1995,114367,9102,3.4,15
77,Nico Icon,Documentary,1995,113973,124626,4,1
78,"Crossing Guard, The",Action|Crime|Drama|Thriller,1995,112744,27526,3.33333,3
79,"Juror, The",Drama|Thriller,1996,116731,9623,2.76471,17
80,"White Balloon, The (Badkonake sefid)",Children|Drama,1995,112445,46785,4,2
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995,114660,400,3.10714,14
82,Antonia's Line (Antonia),Comedy|Drama,1995,112379,880,3.875,8
83,Once Upon a Time... When We Were Colored,Drama|Romance,1995,114039,146599,3,1
85,Angels and Insects,Drama|Romance,1995,112365,8447,3.85714,7
86,White Squall,Action|Adventure|Drama,1996,118158,10534,3.96667,15
87,Dunston Checks In,Children|Comedy,1996,116151,17414,2.5,7
88,Black Sheep,Comedy,1996,115697,13997,3.15625,16
89,Nick of Time,Action|Thriller,1995,113972,2086,3.25,10
92,Mary Reilly,Drama|Horror|Thriller,1996,117002,9095,2.625,8
93,Vampire in Brooklyn,Comedy|Horror|Romance,1995,114825,12158,2.83333,9
94,Beautiful Girls,Comedy|Drama|Romance,1996,115639,9283,3.95,10
95,Broken Arrow,Action|Adventure|Thriller,1996,115759,9208,3.02381,84
96,In the Bleak Midwinter,Comedy|Drama,1995,113403,40154,3.5,1
97,"Hate (Haine, La)",Crime|Drama,1995,113247,406,3.9,10
99,Heidi Fleiss: Hollywood Madam,Documentary,1995,113283,63076,5,2
100,City Hall,Drama|Thriller,1996,115907,11062,2.78571,14
101,Bottle Rocket,Adventure|Comedy|Crime|Romance,1996,115734,13685,3.78261,23
102,Mr. Wrong,Comedy,1996,117102,47475,2.4,5
103,Unforgettable,Mystery|Sci-Fi|Thriller,1996,118040,2045,3,3
104,Happy Gilmore,Comedy,1996,116483,9614,3.43939,99
105,"Bridges of Madison County, The",Drama|Romance,1995,112579,688,3.28261,23
106,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,1994,110251,11907,4,1
107,Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996,117110,10874,3.32692,26
108,Catwalk,Documentary,1996,112646,89333,4,1
110,Braveheart,Action|Drama|War,1995,112573,197,4.03165,237
111,Taxi Driver,Crime|Drama|Thriller,1976,75314,103,4.10577,104
112,Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,1995,113326,33542,3.54348,46
113,Before and After,Drama|Mystery,1996,115645,43566,3.33333,3
116,Anne Frank Remembered,Documentary,1995,112373,51352,3.9,5
117,"Young Poisoner's Handbook, The",Crime|Drama,1995,115033,16934,3,1
118,If Lucy Fell,Comedy|Romance,1996,116606,10324,2.5,2
119,"Steal Big, Steal Little",Comedy,1995,114536,78406,3,2
121,"Boys of St. Vincent, The",Drama,1992,106473,32119,4,2
122,Boomerang,Comedy|Romance,1992,103859,11066,2.65625,16
123,Chungking Express (Chung Hing sam lam),Drama|Mystery|Romance,1994,109424,11104,4.375,4
125,Flirting With Disaster,Comedy,1996,116324,2074,3.58333,12
126,"NeverEnding Story III, The",Adventure|Children|Fantasy,1994,110647,27793,2,7
128,Jupiter's Wife,Documentary,1994,110217,290157,3,1
129,Pie in the Sky,Comedy|Romance,1996,114131,110972,2,1
132,Jade,Thriller,1995,113451,11863,2.83333,6
135,Down Periscope,Comedy,1996,116130,9101,2.95161,31
137,Man of the Year,Documentary,1995,113756,5757,3,1
140,Up Close and Personal,Drama|Romance,1996,118055,9302,3.5,16
