,movieId,Average Rating,Number of Ratings
0,1,3.920930233,215
215,2,3.431818182,110
325,3,3.259615385,52
377,4,2.357142857,7
384,5,3.071428571,49
433,6,3.946078431,102
535,7,3.185185185,54
589,8,2.875,8
597,9,3.125,16
613,10,3.496212121,132
745,11,3.671428571,70
815,12,2.421052632,19
834,13,3.125,8
842,14,3.833333333,18
860,15,3,13
873,16,3.926829268,82
955,17,3.776119403,67
1022,18,3.7,20
1042,19,2.727272727,88
1130,20,2.5,15
1145,21,3.494382022,89
1234,22,3.222222222,36
1270,23,3.125,16
1286,24,3.125,28
1314,25,3.625,76
1390,26,3.5,13
1403,27,3.333333333,9
1412,28,4.227272727,11
1423,29,4.013157895,38
1461,30,3,3
1464,31,3.184210526,38
1502,32,3.983050847,177
1679,34,3.65234375,128
1807,36,3.835820896,67
1874,38,2.125,4
1878,39,3.293269231,104
1982,40,4.25,2
1984,41,3.7,15
1999,42,3,7
2006,43,3.1875,8
2014,44,2.543478261,46
2060,45,3.3125,32
2092,46,3.066666667,15
2107,47,3.975369458,203
2310,48,3.147058824,68
2378,49,3,1
2379,50,4.237745098,204
2583,52,3.464285714,28
2611,53,5,2
2613,54,2.333333333,3
2616,55,4,1
2617,57,3.0625,8
2625,58,4.027027027,37
2662,60,3.235294118,34
2696,61,3.75,6
2702,62,3.70625,80
2782,63,2.714285714,7
2789,64,2.2,5
2794,65,2.532258065,31
2825,66,2.5,9
2834,68,3.4,5
2839,69,3.775,20
2859,70,3.509090909,55
2914,71,1.7,5
2919,72,3.214285714,7
2926,73,3.461538462,13
2939,74,4,8
2947,75,2.2,5
2952,76,3.4,15
2967,77,4,1
2968,78,3.333333333,3
2971,79,2.764705882,17
2988,80,4,2
2990,81,3.107142857,14
3004,82,3.875,8
3012,83,3,1
3013,85,3.857142857,7
3020,86,3.966666667,15
3035,87,2.5,7
3042,88,3.15625,16
3058,89,3.25,10
3068,92,2.625,8
3076,93,2.833333333,9
3085,94,3.95,10
3095,95,3.023809524,84
3179,96,3.5,1
3180,97,3.9,10
3190,99,5,2
3192,100,2.785714286,14
3206,101,3.782608696,23
3229,102,2.4,5
3234,103,3,3
3237,104,3.439393939,99
3336,105,3.282608696,23
3359,106,4,1
3360,107,3.326923077,26
3386,108,4,1
3387,110,4.03164557,237
3624,111,4.105769231,104
3728,112,3.543478261,46
3774,113,3.333333333,3
3777,116,3.9,5
3782,117,3,1
3783,118,2.5,2
3785,119,3,2
3787,121,4,2
3789,122,2.65625,16
3805,123,4.375,4
3809,125,3.583333333,12
3821,126,2,7
3828,128,3,1
3829,129,2,1
3830,132,2.833333333,6
3836,135,2.951612903,31
3867,137,3,1
3868,140,3.5,16
3884,141,3.494186047,86
3970,144,3.333333333,12
3982,145,3.245098039,51
4033,146,3.333333333,3
4036,147,3.466666667,15
4051,148,5,1
4052,149,2,1
4053,150,3.845771144,201
4254,151,3.545454545,44
4298,152,1.5,2
4300,153,2.916058394,137
4437,154,3.875,12
4449,155,2.416666667,6
4455,156,3.333333333,3
4458,157,2.863636364,11
4469,158,2.806451613,62
4531,159,2.892857143,14
4545,160,2.877192982,57
4602,161,3.63592233,103
4705,162,4.205882353,17
4722,163,3.560606061,66
4788,164,3.321428571,14
4802,165,3.555555556,144
4946,166,2.833333333,3
4949,168,3.083333333,54
5003,169,2.4,10
5013,170,3.228571429,35
5048,171,3.833333333,6
5054,172,2.679245283,53
5107,173,2.669354839,62
5169,174,2.7,10
5179,175,3.975,20
5199,176,4.307692308,13
5212,177,2.75,8
5220,178,1,1
5221,179,1.5,2
5223,180,3.402777778,36
5259,181,2.264705882,17
5276,183,3.5,2
5278,184,3.5,2
5280,185,3.040178571,112
